Bulls,Wizards,-7,-11,-18,-21,2,30,,,,
Bulls,Nets,10,18,5,16,2,16,,,,
Bulls,Jazz,6,10,12,7,2,10,,,,
Bulls,Kings,4,8,1,7,2,11,,,,
Bulls,Knicks,7,-2,-19,-8,2,12,,,,
Bulls,Knicks,-4,-8,-15,-12,2,12,,,,
Bulls,Magic,-14,-18,-18,-22,2,14,,,,
Bulls,Hawks,9,-7,-9,-2,2,7,,,,
Bulls,Pacers,1,2,0,2,2,18,,,,
Bulls,Rockets,0,0,-9,3,2,22,,,,
Bulls,Pistons,1,-1,-5,-4,2,20,,,,
Bulls,Bucks,0,16,6,4,2,1,,,,
Bulls,Grizzlies,-2,-10,-18,-16,2,6,,,,
Bulls,Heat,1,6,-6,-8,2,8,,,,
Bulls,Cavaliers,-4,-2,-3,3,2,3,,,,
Bulls,Pelicans,-2,-9,1,5,2,19,,,,
Bulls,Seventysixers,-16,-9,13,10,2,23,,,,
Cavaliers,Bulls,-9,-6,-3,-2,3,2,,,,
Cavaliers,Grizzlies,16,21,24,30,3,6,,,,
Cavaliers,Heat,6,5,9,10,3,8,,,,
Cavaliers,Seventysixers,-14,-5,10,7,3,23,,,,
Cavaliers,Knicks,-14,-8,1,10,3,12,,,,
Cavaliers,Seventysixers,3,-1,8,6,3,23,,,,
Cavaliers,Pacers,2,5,1,4,3,18,,,,
Cavaliers,Jazz,5,4,0,4,3,10,,,,
Cavaliers,Knicks,6,-7,-6,6,3,12,,,,
Cavaliers,Bucks,0,-6,-9,-3,3,1,,,,
Cavaliers,Pistons,-4,1,6,-5,3,20,,,,
Cavaliers,Bucks,5,15,7,15,3,1,,,,
Cavaliers,Hawks,8,15,13,12,3,7,,,,
Cavaliers,Magic,2,4,16,14,3,14,,,,
Cavaliers,Raptors,0,0,-2,-4,3,21,,,,
Cavaliers,Hornets,1,-2,-4,5,3,9,,,,
Cavaliers,Nets,-7,-6,1,2,3,16,,,,
Cavaliers,Wizards,-3,-11,-13,-12,3,30,,,,
Cavaliers,Pelicans,6,1,-7,-6,3,19,,,,
Cavaliers,Heat,-12,-18,-19,-15,3,8,,,,
Cavaliers,Trailblazers,-8,-9,2,5,3,28,,,,
Cavaliers,Magic,2,16,31,35,3,14,,,,
Cavaliers,Celtics,-2,-6,8,12,3,4,,,,
Cavaliers,Thunder,-2,-1,-4,4,3,26,,,,
Cavaliers,Seventysixers,-4,17,28,22,3,23,,,,
Cavaliers,Knicks,7,5,0,7,3,12,,,,
Cavaliers,Warriors,-9,-3,-5,-6,3,29,,,,
Cavaliers,Trailblazers,-22,-29,-31,-29,3,28,,,,
Cavaliers,Suns,4,6,8,4,3,25,,,,
Cavaliers,Nuggets,5,11,10,6,3,17,,,,
Cavaliers,Magic,16,23,28,25,3,14,,,,
Cavaliers,Raptors,4,2,12,22,3,21,,,,
Cavaliers,Wizards,-2,12,6,6,3,30,,,,
Cavaliers,Timberwolves,8,16,19,26,3,27,,,,
Cavaliers,Seventysixers,6,1,6,10,3,23,,,,
Cavaliers,Mavericks,-3,-5,-5,3,3,15,,,,
Cavaliers,Spurs,12,6,1,-4,3,24,,,,
Cavaliers,Rockets,2,11,17,14,3,22,,,,
Cavaliers,Warriors,-13,-26,-37,-34,3,29,,,,
